timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:04:39.003311+07:00,Cần Thơ,60,/dl/web/weather/ic-weather-04n.svg,12.4 km/h,96%
2025-08-01T01:02:20.356013+07:00,Cần Thơ,58,/dl/web/weather/ic-weather-04n.svg,11.3 km/h,94%
2025-08-01T02:03:46.974280+07:00,Cần Thơ,56,/dl/web/weather/ic-weather-04n.svg,10.8 km/h,97%
2025-08-01T03:02:10.675524+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-04n.svg,11.6 km/h,97%
2025-08-01T04:02:11.257131+07:00,Cần Thơ,56,/dl/web/weather/ic-weather-04n.svg,12.6 km/h,97%
2025-08-01T05:02:10.229258+07:00,Cần Thơ,58,/dl/web/weather/ic-weather-04n.svg,11.9 km/h,97%
2025-08-01T06:02:06.489187+07:00,Cần Thơ,58,/dl/web/weather/ic-weather-04d.svg,10.9 km/h,97%
2025-08-01T07:06:27.455111+07:00,Cần Thơ,62,/dl/web/weather/ic-weather-04d.svg,14.3 km/h,90%
2025-08-01T08:30:50.063375+07:00,Cần Thơ,58,/dl/web/weather/ic-weather-02d.svg,18.5 km/h,88%
2025-08-01T09:47:57.386556+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-03d.svg,19.2 km/h,82%
2025-08-01T10:36:31.013092+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-03d.svg,20.1 km/h,71%
2025-08-01T11:23:37.302266+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-04d.svg,22.2 km/h,68%
2025-08-01T12:10:32.427767+07:00,Cần Thơ,44,/dl/web/weather/ic-weather-04d.svg,23.2 km/h,58%
2025-08-01T13:03:34.653153+07:00,Cần Thơ,44,/dl/web/weather/ic-weather-04d.svg,24.0 km/h,58%
