timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-01T00:01:43.893189+07:00,Cần Thơ,96,/dl/assets/svg/weather/ic-weather-02n.svg,11.1 km/h,88%
2026-01-01T01:02:36.510541+07:00,Cần Thơ,94,/dl/assets/svg/weather/ic-weather-02n.svg,3.7 km/h,94%
2026-01-01T02:02:02.859736+07:00,Cần Thơ,132,/dl/assets/svg/weather/ic-weather-02n.svg,1.8 km/h,94%
2026-01-01T03:02:26.115080+07:00,Cần Thơ,107,/dl/assets/svg/weather/ic-weather-02n.svg,3.7 km/h,94%
2026-01-01T04:02:01.633365+07:00,Cần Thơ,102,/dl/assets/svg/weather/ic-weather-02n.svg,1.8 km/h,100%
2026-01-01T05:02:15.742402+07:00,Cần Thơ,97,/dl/assets/svg/weather/ic-weather-02n.svg,1.8 km/h,100%
2026-01-01T06:01:58.022136+07:00,Cần Thơ,99,/dl/assets/svg/weather/ic-weather-02n.svg,1.8 km/h,100%
2026-01-01T07:06:16.630169+07:00,Cần Thơ,129,/dl/assets/svg/weather/ic-weather-50d.svg,1.8 km/h,100%
2026-01-01T08:30:36.912659+07:00,Cần Thơ,117,/dl/assets/svg/weather/ic-weather-04d.svg,3.7 km/h,100%
2026-01-01T09:43:54.995011+07:00,Cần Thơ,84,/dl/assets/svg/weather/ic-weather-01d.svg,5.5 km/h,83%
2026-01-01T10:31:57.900202+07:00,Cần Thơ,79,/dl/assets/svg/weather/ic-weather-02d.svg,5.5 km/h,78%
2026-01-01T11:19:52.118943+07:00,Cần Thơ,68,/dl/assets/svg/weather/ic-weather-03d.svg,7.4 km/h,69%
2026-01-01T12:07:11.052175+07:00,Cần Thơ,68,/dl/assets/svg/weather/ic-weather-04d.svg,1.8 km/h,65%
