timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:04:22.646554+07:00,Đà Nẵng,53,/dl/web/weather/ic-weather-04n.svg,12.7 km/h,60%
2025-08-01T01:02:03.556145+07:00,Đà Nẵng,53,/dl/web/weather/ic-weather-04n.svg,13.0 km/h,71%
2025-08-01T02:03:29.974750+07:00,Đà Nẵng,50,/dl/web/weather/ic-weather-04n.svg,11.6 km/h,66%
2025-08-01T03:01:52.793639+07:00,Đà Nẵng,50,/dl/web/weather/ic-weather-04n.svg,10.3 km/h,67%
2025-08-01T04:01:54.121640+07:00,Đà Nẵng,53,/dl/web/weather/ic-weather-04n.svg,11.7 km/h,70%
2025-08-01T05:01:52.763720+07:00,Đà Nẵng,55,/dl/web/weather/ic-weather-04n.svg,12.7 km/h,73%
2025-08-01T06:01:51.405343+07:00,Đà Nẵng,54,/dl/web/weather/ic-weather-04d.svg,13.7 km/h,73%
2025-08-01T07:06:10.123983+07:00,Đà Nẵng,55,/dl/web/weather/ic-weather-04d.svg,11.4 km/h,70%
2025-08-01T08:30:33.009566+07:00,Đà Nẵng,62,/dl/web/weather/ic-weather-04d.svg,14.2 km/h,60%
2025-08-01T09:47:39.816440+07:00,Đà Nẵng,60,/dl/web/weather/ic-weather-04d.svg,15.1 km/h,56%
2025-08-01T10:36:13.830122+07:00,Đà Nẵng,60,/dl/web/weather/ic-weather-04d.svg,13.0 km/h,53%
2025-08-01T11:23:20.491144+07:00,Đà Nẵng,50,/dl/web/weather/ic-weather-04d.svg,10.0 km/h,53%
2025-08-01T12:10:16.460455+07:00,Đà Nẵng,50,/dl/web/weather/ic-weather-04d.svg,6.4 km/h,45%
2025-08-01T13:03:18.712582+07:00,Đà Nẵng,50,/dl/web/weather/ic-weather-04d.svg,5.0 km/h,47%
