timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-04-01T00:02:31.812848+07:00,Hải Phòng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,72%
2025-04-01T01:02:00.618245+07:00,Hải Phòng,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,63%
2025-04-01T02:01:48.457580+07:00,Hải Phòng,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,63%
2025-04-01T03:02:03.232084+07:00,Hải Phòng,69,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,63%
2025-04-01T04:02:07.442373+07:00,Hải Phòng,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,63%
2025-04-01T05:02:01.527348+07:00,Hải Phòng,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,59%
2025-04-01T06:01:47.320847+07:00,Hải Phòng,68,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,59%
2025-04-01T07:05:34.924752+07:00,Hải Phòng,66,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,59%
2025-04-01T08:29:39.648182+07:00,Hải Phòng,71,/dl/web/weather/ic-w-01-clear-sky-full.svg,0.0 km/h,59%
2025-04-01T09:31:36.868797+07:00,Hải Phòng,80,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,52%
2025-04-01T10:19:41.813481+07:00,Hải Phòng,74,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,34%
2025-04-01T11:02:58.365058+07:00,Hải Phòng,74,/dl/web/weather/ic-w-01-clear-sky-full.svg,5.5 km/h,37%
2025-04-01T12:01:56.116291+07:00,Hải Phòng,73,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,35%
2025-04-01T13:02:02.189692+07:00,Hải Phòng,86,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,35%
2025-04-01T14:02:07.592606+07:00,Hải Phòng,84,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.1 km/h,29%
2025-04-01T15:02:08.017265+07:00,Hải Phòng,85,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,27%
2025-04-01T16:02:03.010838+07:00,Hải Phòng,94,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,29%
2025-04-01T17:02:10.521673+07:00,Hải Phòng,97,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,31%
2025-04-01T18:01:52.529222+07:00,Hải Phòng,107,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,31%
2025-04-01T19:02:19.994697+07:00,Hải Phòng,106,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,31%
2025-04-01T20:09:09.391886+07:00,Hải Phòng,121,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,56%
2025-04-01T21:02:07.039284+07:00,Hải Phòng,140,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,56%
2025-04-01T22:02:04.817459+07:00,Hải Phòng,137,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,18.5 km/h,72%
2025-04-01T23:02:02.993353+07:00,Hải Phòng,139,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,72%
2025-04-02T00:01:56.927845+07:00,Hải Phòng,135,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,72%
2025-04-02T01:02:13.977017+07:00,Hải Phòng,115,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,72%
2025-04-02T02:01:47.222801+07:00,Hải Phòng,99,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,77%
