timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:04:27.963325+07:00,Hải Phòng,110,/dl/web/weather/ic-weather-10n.svg,9.5 km/h,81%
2025-08-01T01:02:09.327986+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-04n.svg,5.0 km/h,86%
2025-08-01T02:03:36.082456+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-10n.svg,4.7 km/h,84%
2025-08-01T03:01:58.232820+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-10n.svg,3.2 km/h,89%
2025-08-01T04:01:59.575960+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-10n.svg,4.8 km/h,93%
2025-08-01T05:01:58.640593+07:00,Hải Phòng,60,/dl/web/weather/ic-weather-10n.svg,6.6 km/h,89%
2025-08-01T06:01:56.378627+07:00,Hải Phòng,44,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,93%
2025-08-01T07:06:15.766596+07:00,Hải Phòng,66,/dl/web/weather/ic-weather-04d.svg,10.3 km/h,92%
2025-08-01T08:30:38.431956+07:00,Hải Phòng,85,/dl/web/weather/ic-weather-10d.svg,11.3 km/h,89%
2025-08-01T09:47:45.258231+07:00,Hải Phòng,91,/dl/web/weather/ic-weather-04d.svg,13.0 km/h,83%
2025-08-01T10:36:19.664518+07:00,Hải Phòng,84,/dl/web/weather/ic-weather-04d.svg,14.5 km/h,84%
2025-08-01T11:23:25.941119+07:00,Hải Phòng,71,/dl/web/weather/ic-weather-04d.svg,15.3 km/h,75%
2025-08-01T12:10:21.945755+07:00,Hải Phòng,72,/dl/web/weather/ic-weather-04d.svg,13.2 km/h,67%
2025-08-01T13:03:24.092874+07:00,Hải Phòng,72,/dl/web/weather/ic-weather-04d.svg,11.7 km/h,74%
