timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-02-01T00:01:58.191721+07:00,Hải Phòng,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,94%
2025-02-01T01:02:01.010701+07:00,Hải Phòng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,88%
2025-02-01T02:01:48.195701+07:00,Hải Phòng,68,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,94%
2025-02-01T03:01:59.450490+07:00,Hải Phòng,73,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,94%
2025-02-01T04:01:49.373987+07:00,Hải Phòng,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%
2025-02-01T05:02:05.779606+07:00,Hải Phòng,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,94%
2025-02-01T06:01:48.306983+07:00,Hải Phòng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,94%
2025-02-01T07:04:47.531839+07:00,Hải Phòng,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,88%
2025-02-01T08:28:55.828549+07:00,Hải Phòng,75,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,94%
2025-02-01T09:23:47.584015+07:00,Hải Phòng,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,83%
2025-02-01T10:05:07.567403+07:00,Hải Phòng,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,83%
2025-02-01T11:01:53.702410+07:00,Hải Phòng,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,83%
2025-02-01T12:02:04.802607+07:00,Hải Phòng,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,78%
2025-02-01T13:02:03.572271+07:00,Hải Phòng,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,73%
2025-02-01T14:02:02.561030+07:00,Hải Phòng,62,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,69%
2025-02-01T15:02:05.645195+07:00,Hải Phòng,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,68%
2025-02-01T16:01:51.116104+07:00,Hải Phòng,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,73%
2025-02-01T17:02:01.067723+07:00,Hải Phòng,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.5 km/h,73%
2025-02-01T18:01:39.161670+07:00,Hải Phòng,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,73%
2025-02-01T19:02:08.539958+07:00,Hải Phòng,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,83%
2025-02-01T20:03:37.705479+07:00,Hải Phòng,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.1 km/h,83%
