timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-04-01T00:02:19.727502+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-12-night-rain-full.svg,7.4 km/h,78%
2025-04-01T01:01:49.308663+07:00,Hồ Chí Minh,116,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,78%
2025-04-01T02:01:38.330681+07:00,Hồ Chí Minh,132,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,80%
2025-04-01T03:01:51.380660+07:00,Hồ Chí Minh,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,80%
2025-04-01T04:01:55.962438+07:00,Hồ Chí Minh,121,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,81%
2025-04-01T05:01:50.570545+07:00,Hồ Chí Minh,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,80%
2025-04-01T06:01:37.008477+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,79%
2025-04-01T07:05:20.949623+07:00,Hồ Chí Minh,79,/dl/web/weather/ic-w-09-mist-full.svg,7.4 km/h,83%
2025-04-01T08:29:27.300550+07:00,Hồ Chí Minh,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,77%
2025-04-01T09:31:25.033443+07:00,Hồ Chí Minh,141,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,74%
2025-04-01T10:19:29.469531+07:00,Hồ Chí Minh,106,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,68%
2025-04-01T11:02:47.351455+07:00,Hồ Chí Minh,106,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,70%
2025-04-01T12:01:44.868389+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,69%
2025-04-01T13:01:51.138873+07:00,Hồ Chí Minh,74,/dl/web/weather/ic-w-07-thunderstorms-full.svg,3.7 km/h,89%
2025-04-01T14:01:56.193858+07:00,Hồ Chí Minh,77,/dl/web/weather/ic-w-06-rain-full.svg,13.0 km/h,79%
2025-04-01T15:01:56.799532+07:00,Hồ Chí Minh,83,/dl/web/weather/ic-w-06-rain-full.svg,11.1 km/h,75%
2025-04-01T16:01:51.215311+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-09-mist-full.svg,9.2 km/h,76%
2025-04-01T17:02:00.036647+07:00,Hồ Chí Minh,111,/dl/web/weather/ic-w-09-mist-full.svg,11.3 km/h,80%
2025-04-01T18:01:42.549784+07:00,Hồ Chí Minh,105,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,81%
2025-04-01T19:02:08.216087+07:00,Hồ Chí Minh,95,/dl/web/weather/ic-w-12-night-rain-full.svg,3.7 km/h,75%
2025-04-01T20:08:56.388064+07:00,Hồ Chí Minh,123,/dl/web/weather/ic-w-06-rain-full.svg,11.1 km/h,85%
2025-04-01T21:01:54.025908+07:00,Hồ Chí Minh,123,/dl/web/weather/ic-w-06-rain-full.svg,5.5 km/h,88%
2025-04-01T22:01:51.832244+07:00,Hồ Chí Minh,124,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,86%
2025-04-01T23:01:52.596425+07:00,Hồ Chí Minh,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,86%
2025-04-02T00:01:45.521047+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,87%
2025-04-02T01:02:03.158655+07:00,Hồ Chí Minh,92,/dl/web/weather/ic-w-09-mist-full.svg,9.2 km/h,88%
2025-04-02T02:01:35.259591+07:00,Hồ Chí Minh,151,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,86%
2025-04-02T03:01:52.694410+07:00,Hồ Chí Minh,165,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,86%
2025-04-02T04:01:42.917503+07:00,Hồ Chí Minh,160,/dl/web/weather/ic-w-12-night-rain-full.svg,5.5 km/h,86%
2025-04-02T05:01:50.938780+07:00,Hồ Chí Minh,159,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,84%
2025-04-02T06:01:49.409591+07:00,Hồ Chí Minh,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,82%
2025-04-02T07:04:30.522740+07:00,Hồ Chí Minh,142,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,84%
