timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-02-01T00:03:53.812834+07:00,Hồ Chí Minh,73,/dl/assets/svg/weather/ic-weather-01n.svg,5.5 km/h,81%
2026-02-01T01:02:03.021549+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-01n.svg,9.3 km/h,81%
2026-02-01T02:03:35.686124+07:00,Hồ Chí Minh,77,/dl/assets/svg/weather/ic-weather-02n.svg,5.5 km/h,73%
2026-02-01T03:01:59.987344+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-01n.svg,5.5 km/h,83%
2026-02-01T04:01:41.596241+07:00,Hồ Chí Minh,80,/dl/assets/svg/weather/ic-weather-03n.svg,7.4 km/h,83%
2026-02-01T05:01:51.550168+07:00,Hồ Chí Minh,94,/dl/assets/svg/weather/ic-weather-01n.svg,3.7 km/h,87%
2026-02-01T06:01:38.521344+07:00,Hồ Chí Minh,107,/dl/assets/svg/weather/ic-weather-01n.svg,7.4 km/h,90%
2026-02-01T07:07:11.733002+07:00,Hồ Chí Minh,162,/dl/assets/svg/weather/ic-weather-50d.svg,9.6 km/h,78%
2026-02-01T08:31:02.768476+07:00,Hồ Chí Minh,142,/dl/assets/svg/weather/ic-weather-01d.svg,14.8 km/h,70%
2026-02-01T09:58:49.915288+07:00,Hồ Chí Minh,115,/dl/assets/svg/weather/ic-weather-01d.svg,11.1 km/h,65%
2026-02-01T11:02:02.307252+07:00,Hồ Chí Minh,97,/dl/assets/svg/weather/ic-weather-01d.svg,9.3 km/h,55%
2026-02-01T12:26:39.023805+07:00,Hồ Chí Minh,82,/dl/assets/svg/weather/ic-weather-01d.svg,13 km/h,47%
2026-02-01T13:13:38.347781+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-01d.svg,20.4 km/h,44%
2026-02-01T14:13:49.185182+07:00,Hồ Chí Minh,53,/dl/assets/svg/weather/ic-weather-01d.svg,14.8 km/h,36%
2026-02-01T15:03:21.146870+07:00,Hồ Chí Minh,53,/dl/assets/svg/weather/ic-weather-01d.svg,14.8 km/h,36%
2026-02-01T16:05:10.945133+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-01d.svg,11.1 km/h,40%
2026-02-01T17:02:25.436720+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-01d.svg,11.1 km/h,40%
2026-02-01T18:03:10.843953+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-01n.svg,18.5 km/h,59%
2026-02-01T19:02:44.766469+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-01n.svg,18.5 km/h,59%
2026-02-01T20:16:17.777303+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-01n.svg,16.7 km/h,73%
2026-02-01T21:04:51.526385+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-01n.svg,16.7 km/h,73%
2026-02-01T22:02:58.874560+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-01n.svg,14.8 km/h,78%
2026-02-01T23:02:31.607516+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-01n.svg,13 km/h,79%
2026-02-02T00:04:15.617006+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-01n.svg,13 km/h,81%
2026-02-02T01:02:55.332833+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-01n.svg,13 km/h,81%
2026-02-02T02:06:15.412968+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-01n.svg,9.3 km/h,80%
2026-02-02T03:01:46.748002+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-01n.svg,9.3 km/h,80%
2026-02-02T04:03:30.249849+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-01n.svg,3.7 km/h,81%
2026-02-02T05:13:03.599958+07:00,Hồ Chí Minh,94,/dl/assets/svg/weather/ic-weather-01n.svg,5.5 km/h,84%
2026-02-02T06:14:53.030369+07:00,Hồ Chí Minh,112,/dl/assets/svg/weather/ic-weather-01n.svg,5.5 km/h,88%
2026-02-02T08:07:34.419013+07:00,Hồ Chí Minh,133,/dl/assets/svg/weather/ic-weather-04d.svg,9.6 km/h,76%
2026-02-02T11:12:15.687996+07:00,Hồ Chí Minh,79,/dl/assets/svg/weather/ic-weather-01d.svg,11.1 km/h,56%
2026-02-02T12:56:35.239705+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-01d.svg,5.5 km/h,51%
2026-02-02T13:53:24.315336+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-02d.svg,14.8 km/h,45%
2026-02-02T14:42:24.465033+07:00,Hồ Chí Minh,55,/dl/assets/svg/weather/ic-weather-01d.svg,13 km/h,42%
2026-02-02T15:29:46.753690+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-01d.svg,14.8 km/h,43%
2026-02-02T16:35:08.138062+07:00,Hồ Chí Minh,64,/dl/assets/svg/weather/ic-weather-01d.svg,20.4 km/h,58%
2026-02-02T17:33:44.490780+07:00,Hồ Chí Minh,54,/dl/assets/svg/weather/ic-weather-01d.svg,18.5 km/h,57%
2026-02-02T18:27:45.934722+07:00,Hồ Chí Minh,49,/dl/assets/svg/weather/ic-weather-01n.svg,16.7 km/h,63%
2026-02-02T19:32:34.943838+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-01n.svg,14.8 km/h,77%
2026-02-02T20:54:17.839634+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-01n.svg,18.5 km/h,78%
2026-02-02T21:33:32.670752+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-01n.svg,13 km/h,81%
2026-02-02T22:28:48.572355+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-01n.svg,11.1 km/h,85%
2026-02-02T23:24:15.126068+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-01n.svg,9.3 km/h,85%
2026-02-03T00:29:30.266621+07:00,Hồ Chí Minh,69,/dl/assets/svg/weather/ic-weather-02n.svg,5.5 km/h,83%
2026-02-03T01:28:11.980851+07:00,Hồ Chí Minh,79,/dl/assets/svg/weather/ic-weather-01n.svg,11.1 km/h,89%
2026-02-03T06:17:35.667896+07:00,Hồ Chí Minh,92,/dl/assets/svg/weather/ic-weather-01n.svg,7.4 km/h,83%
2026-02-03T08:08:36.287562+07:00,Hồ Chí Minh,90,/dl/assets/svg/weather/ic-weather-01d.svg,9.3 km/h,75%
2026-02-03T11:04:41.535716+07:00,Hồ Chí Minh,115,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,64%
2026-02-03T12:41:49.244356+07:00,Hồ Chí Minh,107,/dl/assets/svg/weather/ic-weather-02d.svg,5.5 km/h,63%
2026-02-03T13:36:39.137147+07:00,Hồ Chí Minh,88,/dl/assets/svg/weather/ic-weather-02d.svg,9.3 km/h,61%
2026-02-03T14:34:51.187292+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-03d.svg,15 km/h,55%
2026-02-03T15:24:40.033489+07:00,Hồ Chí Minh,67,/dl/assets/svg/weather/ic-weather-03d.svg,15 km/h,59%
2026-02-03T16:29:45.582325+07:00,Hồ Chí Minh,64,/dl/assets/svg/weather/ic-weather-03d.svg,15 km/h,59%
2026-02-03T17:29:03.411663+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-03d.svg,13 km/h,58%
2026-02-03T18:25:51.249268+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-03n.svg,9 km/h,62%
2026-02-03T19:33:04.937955+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-03n.svg,7 km/h,66%
2026-02-03T20:56:05.172388+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-03n.svg,6 km/h,70%
2026-02-03T21:38:00.956770+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-03n.svg,6 km/h,74%
2026-02-03T22:38:15.473063+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-03n.svg,4 km/h,79%
2026-02-03T23:39:11.958416+07:00,Hồ Chí Minh,81,/dl/assets/svg/weather/ic-weather-03n.svg,4 km/h,79%
2026-02-04T00:43:25.971295+07:00,Hồ Chí Minh,73,/dl/assets/svg/weather/ic-weather-03n.svg,4 km/h,83%
2026-02-04T01:40:38.664150+07:00,Hồ Chí Minh,72,/dl/assets/svg/weather/ic-weather-03n.svg,2 km/h,83%
