timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-07-01T00:02:21.375695+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,83%
2025-07-01T01:02:43.529341+07:00,Huế,41,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,86%
2025-07-01T02:02:03.678815+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.3 km/h,85%
2025-07-01T03:02:19.634718+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,82%
2025-07-01T04:02:05.150998+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.8 km/h,82%
2025-07-01T05:02:46.561713+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,86%
2025-07-01T06:02:12.083018+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,86%
2025-07-01T07:06:05.256267+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.0 km/h,86%
2025-07-01T08:30:21.399964+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.2 km/h,79%
2025-07-01T09:41:59.302688+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.4 km/h,71%
2025-07-01T10:30:00.009024+07:00,Huế,44,/dl/web/weather/ic-w-06-rain-full.svg,2.4 km/h,67%
2025-07-01T11:14:25.186259+07:00,Huế,46,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,65%
2025-07-01T12:04:42.164834+07:00,Huế,46,/dl/web/weather/ic-w-06-rain-full.svg,9.7 km/h,62%
2025-07-01T13:02:39.746980+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.2 km/h,61%
2025-07-01T14:02:57.549007+07:00,Huế,41,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.6 km/h,65%
2025-07-01T15:02:23.703408+07:00,Huế,41,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.5 km/h,72%
2025-07-01T16:03:24.229213+07:00,Huế,41,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,71%
2025-07-01T17:02:26.899707+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,81%
2025-07-01T18:02:04.833712+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,81%
2025-07-01T19:02:53.951963+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,84%
2025-07-01T21:02:12.297297+07:00,Huế,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,82%
2025-07-01T23:02:15.612148+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.6 km/h,82%
2025-07-02T00:02:34.746151+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.7 km/h,86%
2025-07-02T02:02:09.099010+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,90%
2025-07-02T03:02:16.916211+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.8 km/h,90%
2025-07-02T05:02:05.585480+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,89%
2025-07-02T06:02:27.693828+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.0 km/h,89%
2025-07-02T07:05:26.123093+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.3 km/h,81%
2025-07-02T08:29:59.157857+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,73%
2025-07-02T09:33:11.692531+07:00,Huế,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.4 km/h,69%
2025-07-02T10:24:55.332017+07:00,Huế,46,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,61%
2025-07-02T11:08:10.385690+07:00,Huế,46,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.0 km/h,62%
2025-07-02T12:03:45.577375+07:00,Huế,46,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,54%
