timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:04:48.102621+07:00,Vinh,58,/dl/web/weather/ic-weather-04n.svg,13.2 km/h,74%
2025-08-01T01:02:32.155157+07:00,Vinh,58,/dl/web/weather/ic-weather-04n.svg,10.0 km/h,76%
2025-08-01T02:03:54.006083+07:00,Vinh,58,/dl/web/weather/ic-weather-04n.svg,8.5 km/h,78%
2025-08-01T03:02:18.654433+07:00,Vinh,66,/dl/web/weather/ic-weather-04n.svg,8.2 km/h,79%
2025-08-01T04:02:22.207142+07:00,Vinh,58,/dl/web/weather/ic-weather-04n.svg,8.0 km/h,79%
2025-08-01T05:02:17.214534+07:00,Vinh,39,/dl/web/weather/ic-weather-04n.svg,8.5 km/h,79%
2025-08-01T06:02:14.252255+07:00,Vinh,33,/dl/web/weather/ic-weather-04d.svg,7.4 km/h,80%
2025-08-01T07:06:35.145962+07:00,Vinh,44,/dl/web/weather/ic-weather-04d.svg,6.3 km/h,82%
2025-08-01T08:30:57.718540+07:00,Vinh,60,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,79%
2025-08-01T09:48:04.697775+07:00,Vinh,66,/dl/web/weather/ic-weather-04d.svg,11.3 km/h,72%
2025-08-01T10:36:38.805596+07:00,Vinh,58,/dl/web/weather/ic-weather-04d.svg,12.6 km/h,68%
2025-08-01T11:23:45.352828+07:00,Vinh,58,/dl/web/weather/ic-weather-04d.svg,12.4 km/h,62%
2025-08-01T12:10:41.758050+07:00,Vinh,58,/dl/web/weather/ic-weather-04d.svg,13.2 km/h,56%
2025-08-01T13:03:42.554615+07:00,Vinh,53,/dl/web/weather/ic-weather-04d.svg,19.2 km/h,54%
