timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-01T00:01:52.559519+07:00,Vinh,74,/dl/assets/svg/weather/ic-weather-04n.svg,5.4 km/h,85%
2026-01-01T01:02:44.629806+07:00,Vinh,74,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,85%
2026-01-01T02:02:10.835392+07:00,Vinh,74,/dl/assets/svg/weather/ic-weather-04n.svg,2.6 km/h,85%
2026-01-01T03:02:34.170325+07:00,Vinh,74,/dl/assets/svg/weather/ic-weather-04n.svg,2.4 km/h,85%
2026-01-01T04:02:09.520590+07:00,Vinh,74,/dl/assets/svg/weather/ic-weather-04n.svg,3 km/h,86%
2026-01-01T05:02:24.518711+07:00,Vinh,77,/dl/assets/svg/weather/ic-weather-04n.svg,3.2 km/h,86%
2026-01-01T06:02:06.949453+07:00,Vinh,77,/dl/assets/svg/weather/ic-weather-04n.svg,2.6 km/h,86%
2026-01-01T07:06:24.688240+07:00,Vinh,77,/dl/assets/svg/weather/ic-weather-04d.svg,2.4 km/h,86%
2026-01-01T08:30:46.363096+07:00,Vinh,79,/dl/assets/svg/weather/ic-weather-04d.svg,3.9 km/h,85%
2026-01-01T09:44:03.351356+07:00,Vinh,79,/dl/assets/svg/weather/ic-weather-04d.svg,4.8 km/h,82%
2026-01-01T10:32:06.132501+07:00,Vinh,79,/dl/assets/svg/weather/ic-weather-04d.svg,3.8 km/h,77%
