timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-03-01T00:07:04.224139+07:00,Vinh,67,/dl/assets/svg/weather/ic-weather-01n.svg,6 km/h,82%
2026-03-01T01:07:19.990699+07:00,Vinh,67,/dl/assets/svg/weather/ic-weather-01n.svg,3 km/h,82%
2026-03-01T02:08:36.753841+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-02n.svg,2 km/h,80%
2026-03-01T03:07:19.331765+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-02n.svg,2 km/h,80%
2026-03-01T04:06:35.490979+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-02n.svg,2 km/h,81%
2026-03-01T05:06:42.205452+07:00,Vinh,67,/dl/assets/svg/weather/ic-weather-02n.svg,2 km/h,82%
2026-03-01T06:07:20.488988+07:00,Vinh,67,/dl/assets/svg/weather/ic-weather-01n.svg,2 km/h,84%
2026-03-01T07:12:27.103900+07:00,Vinh,67,/dl/assets/svg/weather/ic-weather-01n.svg,3 km/h,84%
2026-03-01T08:36:22.643750+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-01d.svg,4 km/h,74%
2026-03-01T10:03:43.903497+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-01d.svg,6 km/h,67%
2026-03-01T11:01:30.986258+07:00,Vinh,72,/dl/assets/svg/weather/ic-weather-01d.svg,6 km/h,61%
2026-03-01T11:43:40.461252+07:00,Vinh,72,/dl/assets/svg/weather/ic-weather-01d.svg,6 km/h,56%
